Repetition,folder,TrAcc,TrAUC,TeACC,TeAUC,Sen,Spe,TrTime,TeTime
1,1,0.791728212703102,0.933778215471101,0.739644970414201,0.918637862733569,0,0,0.07337,0.016553
1,2,0.77810650887574,0.932071609389751,0.764705882352941,0.933994174646184,0,0,0.0597775,0.0106376
1,3,0.772525849335303,0.917120284413906,0.751479289940828,0.922618584212386,0,0,0.0650017,0.0092762
1,4,0.779911373707533,0.934884532054554,0.727810650887574,0.91724398284781,0,0,0.0605379,0.0094352
1,5,0.787296898079764,0.935922221797522,0.763313609467456,0.919966419498831,0,0,0.0613991,0.0123606
2,1,0.774002954209749,0.93021999450256,0.763313609467456,0.936946704160479,0,0,0.0651675,0.0096258
2,2,0.767751479289941,0.934207605326238,0.770588235294118,0.921986395501892,0,0,0.0738916,0.0089311
2,3,0.779911373707533,0.93594689382399,0.733727810650888,0.910766142604267,0,0,0.0615883,0.0088507
2,4,0.779911373707533,0.932475093308439,0.757396449704142,0.928168597979164,0,0,0.0597121,0.0087834
2,5,0.784342688330872,0.9323171711651,0.78698224852071,0.928529312535722,0,0,0.0791579,0.0087782
3,1,0.784342688330872,0.934057919386148,0.739644970414201,0.920197348666043,0,0,0.0592237,0.0088321
3,2,0.784023668639053,0.937573064866002,0.705882352941176,0.904227959826294,0,0,0.0613994,0.0094311
3,3,0.769571639586411,0.930424721013505,0.798816568047337,0.936665910550822,0,0,0.0694685,0.0091615
3,4,0.772525849335303,0.931189134508428,0.816568047337278,0.940502343523127,0,0,0.089929,0.0088841
3,5,0.772525849335303,0.934366559444019,0.763313609467456,0.916257081501176,0,0,0.0597261,0.008903
4,1,0.771048744460857,0.932045824327134,0.751479289940828,0.9281256120147,0,0,0.0584102,0.0085593
4,2,0.788461538461538,0.937913736054878,0.735294117647059,0.909505603452683,0,0,0.0578317,0.0088091
4,3,0.771048744460857,0.932699796450234,0.763313609467456,0.929188789826219,0,0,0.0600088,0.0089197
4,4,0.781388478581979,0.933872899739884,0.763313609467456,0.926319137103105,0,0,0.0620877,0.0089793
4,5,0.775480059084195,0.929212198016749,0.78698224852071,0.937479989618105,0,0,0.0640185,0.0086996
5,1,0.782865583456425,0.931916119644377,0.769230769230769,0.92527610701761,0,0,0.0589799,0.0085702
5,2,0.782544378698225,0.933733019055569,0.758823529411765,0.922382188771472,0,0,0.0592298,0.0085546
5,3,0.785819793205318,0.935410625832906,0.727810650887574,0.915081064325205,0,0,0.0601483,0.009093
5,4,0.772525849335303,0.932525049442693,0.757396449704142,0.928672516027991,0,0,0.0858306,0.0088407
5,5,0.787296898079764,0.933980401288373,0.757396449704142,0.926075561181174,0,0,0.0586892,0.0088088
6,1,0.782865583456425,0.93312170035114,0.757396449704142,0.926205747542062,0,0,0.0599718,0.0090978
6,2,0.773668639053254,0.93353323219031,0.764705882352941,0.928167729999354,0,0,0.0596117,0.0088484
6,3,0.791728212703102,0.93577882948187,0.72189349112426,0.908295409426887,0,0,0.0591313,0.0086939
6,4,0.774002954209749,0.930992459677211,0.763313609467456,0.939128315554107,0,0,0.0609768,0.0092762
6,5,0.781388478581979,0.93467538352415,0.763313609467456,0.916188052207005,0,0,0.0838124,0.0090348
7,1,0.790251107828656,0.936108928688364,0.698224852071006,0.911268199897896,0,0,0.0604611,0.0092621
7,2,0.782544378698225,0.932926665307198,0.752941176470588,0.92034968181679,0,0,0.0629112,0.0097508
7,3,0.775480059084195,0.93248607619785,0.792899408284024,0.926801246302986,0,0,0.0612417,0.0092479
7,4,0.771048744460857,0.932863959559015,0.804733727810651,0.933017264028571,0,0,0.0617622,0.0084735
